PRODUCT_LINE,INDEX,NAME,BOARDID,BOMREV,DESC,FILE,T1FILE,QRCHECK,SW_ID
Connect,0,UC-Wall-Outlet-US,ec5c,113-01013,UniFi Connect Wall Outlet US,uc_esp32_factory.py,,True,0011,1c01
Connect,0,LVDU-1,ec48,113-03710,Low Voltage Distribution Unit 1 Port,connect_esp32_factory.py,,True,0012,1d01
Connect,0,UC-CAST,ef90,113-03471,UniFi Connect Cast,connect_apq8053_factory.py,,True,1ce1
Connect,0,ULED-INSTANT,ec4c,113-03548,,uled_esp32_factory.py,,True,0011,1c01
Connect,0,UCD-7-B,ef80,113-03168,UniFi Connect Display 7 (BLE),connect_apq8053_factory.py,,True,1c01
Connect,0,LVDU-4,ec3d,113-03076,Low Voltage Distribution Unit 4 Ports,uap_qca953x_factory.py,,True,0011,1c01
Connect,0,LVDU-24,ec41,113-03119,Low Voltage Distribution Unit 24 Ports,uap_qca953x_factory.py,,True,0011,1c01
Connect,0,UCD-13,ef88,113-03396,UniFi Connect Disply 13 (BLE/WiFi),connect_apq8053_factory.py,,True,1c01
Connect,0,UCD-27,ef84,113-03256,UniFi Connect Display 27,connect_apq8053_factory.py,,True,0011,1c01
Connect,0,UC-CONTROL,ec0e,113-03564,UniFi Connect Managed POE 5 inch Touch LED Switch,ut_dvf9918_factory.py,,True,1ce2
Connect,0,EV-CHARGER,efa0,113-03328,UniFi EV Charger,connect_apq8053_factory.py,,True,1ce3
Connect,0,UC-Plug-EU,ec5b,113-01025,UniFi Connect Plug EU,uc_esp32_factory.py,,True,0011,1c01
Connect,0,UCD-21,ef83,113-03287,UniFi Connect Display 21,connect_apq8053_factory.py,,True,1c01
UniFiXG,0,UXG-PRO,ea19,113-00740,UniFi Next-Generation Gateway,ubios_alpine_factory.py,,True,0005,0701
UniFiXG,0,UXG-PLUS-PRO,ea31,113-01200,UniFi Next-Generation Gateway+ Pro,uxg_al524_factory.py,,True,0701
UniFiXG,0,UXG-LITE,b080,113-00778,UniFi Next-Generation Gateway Lite,uxg_mt7622_factory.py,,True,0013,1e01
UniFiServer,0,USRV-TT,1200,113-00732,Ubiquiti Server,unifi_ast2500_factory.py,,True,0010,1b01
UniFiSwitch,0,USW-Enterprise-24-PoE,eb38,113-03154,UniFi Switch Enterprise 24 PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-FLEX-XG,ed40,113-03166,UniFi Switch Flex XG,us_mrvl_factory.py,,True,0002,0201
UniFiSwitch,0,USW-16,ed23,113-02943,UBNT UniFiSwitch 16,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-24-POE,ed50,"['113-04107', '113-04108', '113-04109', '113-04235']",UBNT UniFiSwitch 24 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-16-POE,ed2e,"['113-04103', '113-04104', '113-04105', '113-04233']",UBNT UniFiSwitch 16 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,US-48-500W,eb62,113-02146,UBNT UniFiSwitch 48-Port 500W,us_bcm5334x_factory.py,us_bcm5334x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-EnterpriseXG-24,eb29,113-03112,UniFiSwitch EnterpriseXG 24,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-FLEX,ed10,113-02767,UniFi Switch Flex,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0002,0201
UniFiSwitch,0,USW-LITE-8-POE,ed2a,113-02992,UBNT UniFiSwitch Lite 8 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,6,USW-LITE-8-POE,ed2a,113-02992,UBNT UniFiSwitch Lite 8 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-LITE-16-POE,ed26,"['113-02945', '113-03954', '113-03596']",UBNT UniFiSwitch Lite 16 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-24-PRO-POE,eb36,113-02779,UBNT UniFiSwitch 24-Port Pro PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-SPINE,f062,113-02932,UniFi Super Switch Spine,us_udc-alpine_factory.py,,True,0002,0201
UniFiSwitch,0,USW-Aggregation-Pro,eb27,113-03046,UBNT UniFiSwitch Aggregation Pro,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-Enterprise-48-PoE,eb28,113-03213,UniFi Switch Enterprise 48 PoE,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,US-6XG-150,eb23,113-02604,UBNT UniFiSwitch 6XG,us_bcm5616_factory.py,us_bcm5616_mfg.py,True,0002,0201
UniFiSwitch,0,USW-24-POE,ed21,"['113-02831', '113-03956', '113-03962']",UBNT UniFiSwitch 24 POE,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
UniFiSwitch,0,USW-MISSION-CRITICAL,ed2c,113-02730,UBNT UniFiSwitch Mission Critical,us_rtl838x_factory.py,us_rtl838x_mfg.py,True,0002,0201
