PRODUCT_LINE,INDEX,NAME,BOARDID,BOMREV,DESC,FILE,T1FILE,QRCHECK,FCD_ID,SW_ID
UniFiVideo,0,UVC-G4BULLET,a572,113-02987,UVC G4 Bullet,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4INS,a595,113-03346,UVC G4 Instant,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G3MINI,a590,113-03132,UVC G3 Mini,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4DOORBELL,a571,113-02712,UVC G4 Doorbell,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G4DOME,a573,113-02998,UVC G4 Dome,uvc_factory.py,,False,0009,0e03
UniFiVideo,0,UVC-G3BATTERY,a580,113-02692,UVC G3 Battery,uvc_factory.py,,False,0009,0e03
UniFiAP,0,UAP-AC-PRO,e537,113-00390,UniFi AC PRO,uap_qca9563_factory.py,uap_qca9563_mfg.py,True,0004,0601
UniFiAP,0,UAP-UBB 831,dc9c,113-00800,UniFi AP Building Bridge 831,uap_ipq40xx_factory.py,uap_ipq40xx_mfg.py,True,0004,0601
UniFiAP,0,UBB-XG,dd12,113-00958,UniFi AP Building Bridge XG,uap_ls104x_factory.py,uap_ls104x_mfg.py,True,0004,0601
UniFiAP,0,UAP-AC-Lite,e517,113-00391,UniFi AC Lite,uap_qca9563_factory.py,uap_qca9563_mfg.py,True,0004,0601
UniFiAP,0,ULTE-FLEX-US,e615,113-00758,UniFi LTE FLEX US,uap_qca956x_factory2.py,uap_qca956x_mfg.py,True,0004,0601
UniFiAP,0,UAP-IWHD,ec22,113-00600,UniFi AP IW HD,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0004,0601
UniFiAP,0,UAP-FLEXHD,ec26,113-00641,UniFi AP Flex HD,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0004,0601
UniFiAP,0,UAP-UBB,dc98,113-00694,UniFi AP Building Bridge,uap_ipq40xx_factory.py,uap_ipq40xx_mfg.py,True,0004,0601
UniFiAP,0,UAP-NANO-HD,ec20,113-00573,UniFi AP NANO HD,us_mt7621_factory.py,unifi_mt7621_mfg.py,True,0004,0601
UniFiAP,0,UAP-Industrial,ec2a,113-00710,UniFi AP nanoHD industrial,us_mt7621_factory.py,,True,0004,0601
UniFiAP,0,ULTE-FLEX-EU,e614,113-00830,UniFi LTE FLEX EU,uap_qca956x_factory2.py,uap_qca956x_mfg.py,True,0004,0601
UniFiAP,0,UAP-AC-LR,e527,113-00392,UniFi AC Long Range,uap_qca9563_factory.py,uap_qca9563_mfg.py,True,0004,0601
UniFiAccess,0,UA-HOTEL,ec40,113-02940,UA Hotel,ua_psoc6_factory.py,,True,0001,0001
UniFiAccess,2,UA-ELEVATOR,ec3b,113-03003,UniFi Access Elevator,ua_mt7621_factory.py,,True,0012,1d01
UniFiAccess,0,UA-PRO-BL,ec60,113-02966,UniFi PRO Backlight,connect_apq8053_factory.py,,True,0012,1d01
UniFiAccess,0,UA-Thermal-Scan,ec70,113-03274,UniFi Thermal Scan,uvc_factory.py,,False,0009,0e03
UniFiAccess,1,UA-GATE,ec46,113-03329,UniFi Access Gate,ua_mt7621_factory.py,,True,0012,1d01
UniFiAccess,0,UA-LOCKER,ec43,113-03291,UniFi Access Locker,ua_mt7621_factory2.py,ua_mt7621_mfg.py,True,1d01
airMAX,0,PS-5AC-US,e7e6,113-00513,Prisam Base Station 5AC (US),am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,IS-5AC,e7f7,113-00485,ISO Station 5AC,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,60G-LAS,a918,113-00717,Link Assist Sensor,ufp_efr32_factory.py,,False,000b,1203
airMAX,0,GBE,dc9a,113-00714,GBE,am_ipq40xx_factory.py,am_ipq40xx_mfg.py,False,000b,1201
airMAX,0,PBE-5AC-500,e3d5,113-00427,PowerBeam 5AC 500,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,B-DB-AC,e2c5,113-00549,Bullet AC Dual,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,NBE-5AC-QCA9557,e3d7,113-00494,NBE 5AC,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,PBE-5AC-ISO,e3d6,113-00559,PowerBeam 5AC ISO,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,NBE-2AC-13,e4f3,113-00569,NanoBeam 2AC 13,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,GBE-AP,dca0,113-00825,GBE AP,am_ipq40xx_factory.py,am_ipq40xx_mfg.py,False,000b,1201
airMAX,0,PBE-5AC,e3d6,113-00492,PBE 5AC,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,PBE-5AC-620-WORLD,e5f5,113-00429,PowerBeam 5AC 620 World,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,LBE-5AC-LR,e7fe,113-00643,LiteBeam 5AC LR,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
airMAX,0,LBE-5AC,e7f9,113-00497,LiteBeam 5AC,am_ar9342_factory.py,am_ar9342_mfg.py,False,000b,1202
